spotifyid,DataSet,Wonder,Transcendence,Tenderness,Nostalgia,Peacefulness,Power,Joy,Tension,Sadness,mp3,spec_npy,n_mels,n_frames,tempo,tempo_variance,loudness,energy,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,key,mode,acousticness,danceability,valence
4sZbYvUTHJUmQ7mitmnbCd,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Lindsey Stirling - Crystallize.mp3,DataSets\img\Lindsey Stirling - Crystallize.npy,128.0,29962.0,[69.83741554],0.0015926811290614621,-14.033858,0.4134322702884674,2404.9315776457224,2940.6479065633257,5179.828824755638,0.044315662296082456,7,0,0.9987532511586323,[0.5871242],0.2981395286058706
1EFmmDe9dRgA31yc8MA1cb,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Mors Principium Est - Pure.mp3,DataSets\img\Mors Principium Est - Pure.npy,128.0,36788.0,[132.51201923],0.0009051133776384051,-13.462868,0.4168567657470703,3157.279767928809,3215.3505415378486,6496.844515938625,0.0754462643448605,11,0,0.9988465447677299,[0.69275447],0.34943757311094403
0w6lsLBvhtGcqMYA7MB7r6,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Orelsan - La Quête.mp3,DataSets\img\Orelsan - La Quête.npy,128.0,23415.0,[120.18531977],0.001056716874840788,-16.872873,0.27549269795417786,2692.7758147206155,3000.120203511946,5646.7846335895665,0.05512244509402271,6,0,0.9994618706405163,[0.62529372],0.27134928696610033
4CWcaGtaOyAqBDKIeZMUe0,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Naps - La kiffance.mp3,DataSets\img\Naps - La kiffance.npy,128.0,15432.0,[69.83741554],0.0033388814505563936,-20.45371,0.2545662224292755,1859.3846724722864,2482.2424956161167,3938.9367194553115,0.03153708380745937,6,0,0.9981689639389515,[0.53397409],0.20881438564124424
5ygDXis42ncn6kYG14lEVG,Music-Mouv,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,DataSets\audio\Pinkfong - Baby Shark.mp3,DataSets\img\Pinkfong - Baby Shark.npy,128.0,13604.0,[114.84375],0.0003985984512245477,-26.30482,0.3463921844959259,2609.667237092584,2609.7256609806805,5168.104745308633,0.06302349484189639,7,0,0.8331844061613083,[0.58459845],0.28944187730481424
5pRElcsPZrgZXkoON2o5Go,Music-Mouv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DataSets\audio\Skillet - Comatose.mp3,DataSets\img\Skillet - Comatose.npy,128.0,23052.0,[84.72079918],0.0014454264439517327,-17.630009,0.5410841107368469,3481.197019692537,3533.3098988485635,7369.6032109902235,0.08704722340696766,4,0,0.9988779639825225,[0.65452202],0.41244117155845145
17tejn8Dt8IDKKRknPznPD,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Soolking - Fada.mp3,DataSets\img\Soolking - Fada.npy,128.0,11099.0,[99.38401442],0.0009858266051696763,-17.379625,0.38902947306632996,2575.427454995471,3024.4718073454455,5553.259920894351,0.052042813480648535,7,0,0.9719968214631081,[0.61931546],0.30137165468847477
6LtiYg9rZXcqeonqFnGrQx,Music-Mouv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\Vicarious Visions Audio - Crash Bandicoot Main Theme.mp3,DataSets\img\Vicarious Visions Audio - Crash Bandicoot Main Theme.npy,128.0,4861.0,[151.99908088],2.655929194535849e-05,-22.563564,0.34137898683547974,2127.3049602172973,3025.2680018186056,4585.569405675305,0.03333875220175543,0,0,0.9987391884205863,[0.70003786],0.2556133262929797
6KigD0mlF4VGDYiSEzAyYw,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\NEFFEX - Fight Back.mp3,DataSets\img\NEFFEX - Fight Back.npy,128.0,19683.0,[139.67483108],0.00029490185367998383,-14.093117,0.38606706261634827,3705.8050734292265,3473.3863114304345,7385.024955829167,0.09517106462536129,3,0,0.9974696757271886,[0.6939703],0.37574269243406455
5JrEDriz04IUQnTviFEUKQ,Music-Mouv,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,DataSets\audio\Bénabar - L'effet papillon.mp3,DataSets\img\Bénabar - L'effet papillon.npy,128.0,22115.0,[97.50884434],0.0004062012558876171,-15.598849,0.47710758447647095,2550.973927754301,3018.1775237561333,5447.211934057217,0.05383175173410594,9,0,0.999472436553333,[0.65470808],0.32910079000911036
5QzjOeD7eXFZpVVyVC7ls2,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\TNX - MOVE.mp3,DataSets\img\TNX - MOVE.npy,128.0,21239.0,[86.1328125],0.0011042845936856303,-13.356563,0.41894784569740295,3344.7969834377086,3545.8959032586827,7333.272747916837,0.0729067110032661,4,0,0.9984812916954979,[0.61603107],0.3626357474616482
6lHf3IMVHRQ0em1wbGsTGB,Music-Mouv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\Biwaï - Loco.mp3,DataSets\img\Biwaï - Loco.npy,128.0,19487.0,[126.04801829],0.0012028639146796226,-14.484195,0.41553059220314026,2874.7201096571625,3274.3847293032286,6247.545074666535,0.06104353476525262,1,0,0.9993985376786441,[0.68172307],0.33015820471152424
41N22sExMGJ0kzHwya8AtZ,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Zaho - Boloss.mp3,DataSets\img\Zaho - Boloss.npy,128.0,23384.0,[105.46875],0.00033478771351206087,-16.349943,0.43803900480270386,2955.5029889803045,3360.998387858338,6796.914244808475,0.05351779233745842,2,0,0.9363306909799576,[0.63390448],0.3430465341995883
5YHsGUUAyoPDZ5eTEqdt1s,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Jnr Slice - Doré.mp3,DataSets\img\Jnr Slice - Doré.npy,128.0,14769.0,[72.78829225],0.0016667324666456386,-16.935858,0.2906835675239563,3589.070426296273,3659.1946297686445,7746.382354503626,0.08108969359228835,0,0,0.9993425065767951,[0.55132251],0.33616588426107025
53rwYHTHFgGrKkSiqyAH7k,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\İbrahim Tatlıses - Aramam.mp3,DataSets\img\İbrahim Tatlıses - Aramam.npy,128.0,29591.0,[135.99917763],0.00014157103230240606,-16.577816,0.4036986231803894,2557.777003450569,3017.462455316964,5343.713549891857,0.05881232420572253,3,0,0.9994486423092894,[0.69438105],0.30508467462350103
2SMNxADB0ffqaIoOwl2x06,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Volbeat - Shotgun Blues.mp3,DataSets\img\Volbeat - Shotgun Blues.npy,128.0,15082.0,[147.65625],9.981960927649564e-05,-14.333767,0.49830448627471924,2748.5528099333214,3031.0850038180456,5640.24223425713,0.05666355253156031,2,0,0.9992160220863298,[0.74526725],0.34933834942046116
4leY6qRRp1GGnv5gvMMYVr,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Eno - Cane Cane.mp3,DataSets\img\Eno - Cane Cane.npy,128.0,19359.0,[147.65625],0.0007506943924074811,-14.169306,0.41884663701057434,3002.690639851748,3261.7787194758466,6473.041770800535,0.060964874673893485,4,0,0.9979423445183784,[0.71835674],0.339794921660308
3hlksXnvbKogFdPbpO9vel,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Nicki Minaj - Super Bass.mp3,DataSets\img\Nicki Minaj - Super Bass.npy,128.0,11321.0,[126.04801829],0.00020957460506766795,-14.05029,0.34960612654685974,2623.70477687226,3211.768267219821,5536.232677057161,0.04491211037649984,4,0,0.998899819678627,[0.65958201],0.2914490273071039
2uEK8kZO6DxEqOoUgz7Bi9,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\KIDDO - Let It Rain.mp3,DataSets\img\KIDDO - Let It Rain.npy,128.0,10864.0,[143.5546875],0.0002852565857153756,-12.783451,0.4518961012363434,2142.820653635985,2717.4038098934943,4457.543342592779,0.041479066891765524,7,0,0.9986263983882964,[0.72276531],0.2934867439878468
6Ao6nHW7cPibIEOLytVUxn,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Kendji Girac - Color Gitano.mp3,DataSets\img\Kendji Girac - Color Gitano.npy,128.0,10501.0,[114.84375],0.0008932643462323487,-17.29334,0.31559208035469055,2544.827962524531,3160.490642903204,5480.995428599072,0.04718511582264485,5,0,0.9936988656409085,[0.62783657],0.27485255761986555
6cryNSlBitzoR2Y5HROrii,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Kaaris - Tchoin.mp3,DataSets\img\Kaaris - Tchoin.npy,128.0,12141.0,[120.18531977],0.000973104851929075,-20.563446,0.33136695623397827,2567.798476818197,3074.3797989650657,5391.224637578297,0.048982776190590036,0,0,0.9878905219957232,[0.64006136],0.28164221719920585
5H6SZcjJzBNsB2VzKW2Ivd,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Ozuna - Tiempo.mp3,DataSets\img\Ozuna - Tiempo.npy,128.0,19518.0,[178.20581897],8.423809651350834e-05,-18.647558,0.3096567690372467,2392.33953566041,2969.642603662174,4936.931608791305,0.043273145187674736,8,0,0.9952991944737732,[0.73199502],0.2627082253897763
2KH5oAL6cKVuY3KHIOuKgz,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Lefa - Métaverse.mp3,DataSets\img\Lefa - Métaverse.npy,128.0,19714.0,[129.19921875],0.0002826937315963446,-23.555794,0.24781741201877594,1875.2367097445538,2368.8221546673303,3975.3640887257066,0.036153919592903414,1,0,0.9035568460822105,[0.59912345],0.20762158465589556
1HzDhHApjdjXPLHF6GGYhu,Music-Mouv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DataSets\audio\Pink Floyd - Wish You Were Here.mp3,DataSets\img\Pink Floyd - Wish You Were Here.npy,128.0,30599.0,[123.046875],0.0005415870083526515,-28.2738,0.21142560243606567,2189.324503585035,2894.022102102152,4458.525852672897,0.04830734848089619,2,0,0.9985595270991325,[0.6084065],0.21643016771769089
6iR2M235HS3BbB68MtRIbO,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Dika - Youleuh 6.mp3,DataSets\img\Dika - Youleuh 6.npy,128.0,23350.0,[120.18531977],0.0002655710365600925,-12.802129,0.4923793077468872,3389.118530887171,3659.045526363455,7408.523588704039,0.06999083938537938,6,0,0.9997121823544148,[0.6976727],0.3900676713081071
09CtPGIpYB4BrO8qb1RGsF,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Justin Bieber - Sorry.mp3,DataSets\img\Justin Bieber - Sorry.npy,128.0,11177.0,[132.51201923],0.0011666891500489802,-13.020742,0.4367114305496216,2565.560334058131,3318.4096882433023,5944.1482329970395,0.04356344176859354,0,0,0.9973021217156202,[0.69885788],0.3166078324537493
4kZbYkUuDHyphD71bPMYL1,Music-Mouv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\Steven Wilson - Drive Home.mp3,DataSets\img\Steven Wilson - Drive Home.npy,128.0,50073.0,[123.046875],0.00011840076401465099,-33.227654,0.26743945479393005,1709.7843327964572,2218.5549941615213,3550.112747344511,0.03755941340134477,9,0,0.9049307703971863,[0.5958682],0.20313210711774046
5HerMpAegwiAAFOIXNCxED,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Naps - En détente.mp3,DataSets\img\Naps - En détente.npy,128.0,15495.0,[139.67483108],0.00020047775641925857,-14.9131155,0.43777453899383545,2889.9857908630734,3289.244619107727,6088.973825695667,0.05568103856024277,0,0,0.9991409010835923,[0.7117632],0.33859056572215
6cFrujlrXPM4mm9ZCce50F,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Greta Van Fleet - The Weight of Dreams.mp3,DataSets\img\Greta Van Fleet - The Weight of Dreams.npy,128.0,29889.0,[135.99917763],0.0003831357596075676,-13.622571,0.39958566427230835,1989.0181048643801,2357.7308548706555,4063.1257260490306,0.045096767845177514,9,0,0.9989543233532459,[0.69284529],0.26579642841506146
0yzjqS9Ya9tE0QAYizgpNe,Music-Mouv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DataSets\audio\Team Sleep - Ataraxia.mp3,DataSets\img\Team Sleep - Ataraxia.npy,128.0,19735.0,[123.046875],0.00033052382004685013,-12.375965,0.5732322335243225,2069.2566058792636,2575.833448556543,4190.587073318368,0.04590320598379221,7,0,0.9979932378046215,[0.72881995],0.3290278515667251
6WpBbL2UkFz4QQNpQuG9qD,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Puscifer - Potions - Deliverance Mix.mp3,DataSets\img\Puscifer - Potions - Deliverance Mix.npy,128.0,27517.0,[161.49902344],0.0001425417274371988,-13.379494,0.41327351331710815,2753.949035485426,3428.839515641992,6297.6937471816855,0.052944347680477614,7,0,0.9989792135311291,[0.73991595],0.32135444013806447
5OBptQtIlGOG94la7qil6c,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Genesis - Firth Of Fifth - Remastered 2008.mp3,DataSets\img\Genesis - Firth Of Fifth - Remastered 2008.npy,128.0,57490.0,[166.70866935],0.0006949174082233959,-19.559107,0.3538806438446045,2636.7972288081983,2900.08268068116,5557.5411275657225,0.05922026108142153,11,0,0.9994833563105203,[0.72896912],0.2937466965354147
0gmbgwZ8iqyMPmXefof8Yf,Music-Mouv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\Nickelback - How You Remind Me.mp3,DataSets\img\Nickelback - How You Remind Me.npy,128.0,22415.0,[86.1328125],0.0015217383831451217,-13.71476,0.4237033426761627,2931.472161861475,3112.553639035182,6150.943244961348,0.07026394248200135,10,0,0.9932398828677833,[0.6158691],0.33666592501615256
6JnFVmPyJvjnfBag0hhIFa,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,DataSets\audio\Muse - Assassin.mp3,DataSets\img\Muse - Assassin.npy,128.0,21111.0,[126.04801829],0.0004973047712500799,-11.395085,0.5653249621391296,2684.6733378253316,2992.5880536966656,5521.71413624701,0.06262287587989442,2,0,0.9990550184738822,[0.73154002],0.36741987656806535
4diKCx2EUg4CGvDTyCan5H,Music-Mouv,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,DataSets\audio\Marcin Przybyłowicz - The Trail.mp3,DataSets\img\Marcin Przybyłowicz - The Trail.npy,128.0,16974.0,[161.49902344],0.00014730373617567036,-14.773376,0.5399675369262695,2944.8596110824456,3548.15352727544,6766.049086626838,0.05588298750641245,2,0,0.9996196239371784,[0.78236076],0.3763131530475862
1MjMpqiHCPQdPUdG44P2U4,Music-Mouv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\SKÁLD - Rún.mp3,DataSets\img\SKÁLD - Rún.npy,128.0,9022.0,[84.72079918],0.00015431426039220637,-13.37193,0.4443582594394684,1117.9014940123993,1967.8918873974444,2075.162349902683,0.016509448188778794,10,0,0.9988488174276426,[0.62227036],0.22264618608064943
62Pp6exz0ywSlBqvNqiY6Z,Music-Mouv,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,DataSets\audio\Wejdene - Anissa.mp3,DataSets\img\Wejdene - Anissa.npy,128.0,10349.0,[99.38401442],0.0016170237310833599,-22.802158,0.24851012229919434,2109.9779311669768,2652.6197058426733,4004.6395044838177,0.04293659596211016,9,0,0.9493247382342815,[0.56491831],0.22350190284419655
7HctR6dqgzdU9v3LYfDElj,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Pitbull - Ten Cuidado.mp3,DataSets\img\Pitbull - Ten Cuidado.npy,128.0,21352.0,[105.46875],0.0008086901103906542,-12.943112,0.38862234354019165,3658.526169850352,3694.250725915885,7802.626579300847,0.08241811020845795,7,0,0.9992182390997186,[0.63839478],0.37344252583675397
3o8czqWldXDDZvZWAMw3Yw,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,DataSets\audio\Opeth - Heir Apparent.mp3,DataSets\img\Opeth - Heir Apparent.npy,128.0,53054.0,[143.5546875],0.0005412872759046164,-13.83497,0.5740323662757874,2342.808113541028,2591.059005073759,4761.735403941315,0.05582874268961857,4,0,0.9948098761960864,[0.76220523],0.347531329661331
3ZxeBONxtfBB7jerhauPpc,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Alex Wilson - Boom.mp3,DataSets\img\Alex Wilson - Boom.npy,128.0,13087.0,[129.19921875],0.001326718728202707,-18.812092,0.3716734051704407,3539.99006426908,3508.1612991207903,7264.376607966643,0.07806613074709456,8,0,0.9941585026681423,[0.67060933],0.35989047267475227
5ECfzSLi8W8yT8l2l4DkYS,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Black Crown Initiate - A Great Mistake.mp3,DataSets\img\Black Crown Initiate - A Great Mistake.npy,128.0,41017.0,[109.95678191],0.0002871508876859786,-18.492256,0.5570495128631592,2641.1134803358327,2819.850523649552,5375.394891535194,0.0598253233223768,2,0,0.9988134866580367,[0.7018823],0.3617574029767752
6epn3r7S14KUqlReYr77hA,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,DataSets\audio\Justin Bieber - Baby.mp3,DataSets\img\Justin Bieber - Baby.npy,128.0,11929.0,[129.19921875],0.0001081833186789523,-14.430751,0.40145111083984375,2624.238052999444,3113.9901389922293,5557.66628649635,0.04824076186131387,3,0,0.9954715063795447,[0.6809729],0.30876624047991086
7ye2H4Sjn4Va8Fny4cDMnb,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Shadow of Intent - The Return.mp3,DataSets\img\Shadow of Intent - The Return.npy,128.0,28580.0,[151.99908088],0.0002699235290123436,-10.906828,0.5389313101768494,2911.23497197987,3164.491894297296,6044.623001333555,0.06645327907924402,7,0,0.998701069271192,[0.76587593],0.3737261015242745
228BxWXUYQPJrJYHDLOHkj,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Daddy Yankee - Gasolina.mp3,DataSets\img\Daddy Yankee - Gasolina.npy,128.0,10838.0,[95.703125],4.3972196983434025e-05,-16.896988,0.33652517199516296,3128.0662352070453,3670.535473342643,6889.660792297134,0.06207966490358865,5,0,0.9984377968357876,[0.60449286],0.320712806345524
1CAbKnexRqE6donA0Tyhrf,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Dj Mam's - Fiesta Buena (feat. Luis Guisao & Soldat Jahman).mp3,DataSets\img\Dj Mam's - Fiesta Buena (feat. Luis Guisao & Soldat Jahman).npy,128.0,19291.0,[147.65625],0.0004360235981736979,-13.401086,0.4591434895992279,3949.683767394044,4021.775532183238,8744.70428775352,0.0793046505909214,10,0,0.9939408344216645,[0.73045519],0.4163600810260122
5HXaU3tsZrdWTqKVRToU43,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Eluveitie - Rebirth.mp3,DataSets\img\Eluveitie - Rebirth.npy,128.0,30761.0,[126.04801829],0.0005999059758908686,-13.647686,0.40919211506843567,2815.8184409996816,3109.0044371093304,5750.730615814894,0.06631578113205322,2,0,0.9994411502848379,[0.67962445],0.32411860108945734
4CtO2AMo76k5yAeD44EUPY,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\HXVRMXN - South.mp3,DataSets\img\HXVRMXN - South.npy,128.0,19199.0,[139.67483108],3.407939940953954e-05,-15.909608,0.3089885711669922,1650.8576058129308,1804.3658101366398,3258.7352443809714,0.04392978151266856,4,0,0.9998297570564318,[0.66906416],0.21305336410985945
4oMyggIzClkOcCTvotFLkP,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Ghostface Playa - Why Not.mp3,DataSets\img\Ghostface Playa - Why Not.npy,128.0,16901.0,[120.18531977],0.0002440923300840403,-6.9338045,0.6276959180831909,2484.370284393047,3070.670690007699,5578.586239116061,0.03756887660360995,7,0,0.9764894489198923,[0.73503732],0.3748566583206001
4Qt6fOWtoMdjQYtV5jztL2,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\DeathbyRomy - Day I Die.mp3,DataSets\img\DeathbyRomy - Day I Die.npy,128.0,10720.0,[147.65625],0.0001933372483281138,-20.51038,0.30317145586013794,2551.028501019884,2749.1945865421817,5333.827821443802,0.05662835582963284,11,0,0.9418489038944244,[0.66110054],0.27112571868803825
3KyEkcINcNisbSDfFZqmaV,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Sympathies - Joy.mp3,DataSets\img\Sympathies - Joy.npy,128.0,12938.0,[172.265625],0.00022628998553033287,-17.156511,0.3077648878097534,1534.4283149838006,2230.0556564954036,3066.806168292635,0.02868551567827979,3,0,0.9980406416580081,[0.72237788],0.20488351693550452
2lIBT5vhgGXKMUoCFeFJvZ,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,DataSets\audio\Booba - Scarface.mp3,DataSets\img\Booba - Scarface.npy,128.0,14260.0,[92.28515625],0.003232734724227503,-13.446647,0.33969464898109436,2604.084865332511,3125.8803833174557,5661.0794522090255,0.047201832776115456,7,0,0.9993890458717942,[0.60016983],0.2868372073491989
0HKNlsZ0zFlSqUqWj1nVVG,Music-Mouv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\Niska - Réseaux.mp3,DataSets\img\Niska - Réseaux.npy,128.0,20981.0,[151.99908088],0.00017509094169132995,-16.43593,0.31464841961860657,2559.0245490969614,3158.019118698399,5767.594161462945,0.043385211673745226,4,0,0.9742668177932501,[0.68297021],0.2754844431459996
