spotifyid,DataSet,Wonder,Transcendence,Tenderness,Nostalgia,Peacefulness,Power,Joy,Tension,Sadness,mp3,spec_npy,n_mels,n_frames
3o8czqWldXDDZvZWAMw3Yw,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,DataSets\audio\Opeth - Heir Apparent.mp3,DataSets\img\Opeth - Heir Apparent.npy,128.0,53054.0
3ZxeBONxtfBB7jerhauPpc,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Alex Wilson - Boom.mp3,DataSets\img\Alex Wilson - Boom.npy,128.0,13087.0
5ECfzSLi8W8yT8l2l4DkYS,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Black Crown Initiate - A Great Mistake.mp3,DataSets\img\Black Crown Initiate - A Great Mistake.npy,128.0,41017.0
6epn3r7S14KUqlReYr77hA,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,DataSets\audio\Justin Bieber - Baby.mp3,DataSets\img\Justin Bieber - Baby.npy,128.0,11929.0
7ye2H4Sjn4Va8Fny4cDMnb,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Shadow of Intent - The Return.mp3,DataSets\img\Shadow of Intent - The Return.npy,128.0,28580.0
228BxWXUYQPJrJYHDLOHkj,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Daddy Yankee - Gasolina.mp3,DataSets\img\Daddy Yankee - Gasolina.npy,128.0,10838.0
1CAbKnexRqE6donA0Tyhrf,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Dj Mam's - Fiesta Buena (feat. Luis Guisao & Soldat Jahman).mp3,DataSets\img\Dj Mam's - Fiesta Buena (feat. Luis Guisao & Soldat Jahman).npy,128.0,19291.0
5HXaU3tsZrdWTqKVRToU43,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Eluveitie - Rebirth.mp3,DataSets\img\Eluveitie - Rebirth.npy,128.0,30761.0
4CtO2AMo76k5yAeD44EUPY,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\HXVRMXN - South.mp3,DataSets\img\HXVRMXN - South.npy,128.0,19199.0
4oMyggIzClkOcCTvotFLkP,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Ghostface Playa - Why Not.mp3,DataSets\img\Ghostface Playa - Why Not.npy,128.0,16901.0
4Qt6fOWtoMdjQYtV5jztL2,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\DeathbyRomy - Day I Die.mp3,DataSets\img\DeathbyRomy - Day I Die.npy,128.0,10720.0
3KyEkcINcNisbSDfFZqmaV,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Sympathies - Joy.mp3,DataSets\img\Sympathies - Joy.npy,128.0,12938.0
2lIBT5vhgGXKMUoCFeFJvZ,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,DataSets\audio\Booba - Scarface.mp3,DataSets\img\Booba - Scarface.npy,128.0,14260.0
0HKNlsZ0zFlSqUqWj1nVVG,Music-Mouv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\Niska - Réseaux.mp3,DataSets\img\Niska - Réseaux.npy,128.0,20981.0
16mEAOIriJH4aIJW8OiZkD,Music-Mouv,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,DataSets\audio\Koba LaD - Guedro.mp3,DataSets\img\Koba LaD - Guedro.npy,128.0,11412.0
51GMvFIatytE5bvlDLx4ju,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,DataSets\audio\Christophe Maé - Les mêmes que nous.mp3,DataSets\img\Christophe Maé - Les mêmes que nous.npy,128.0,19899.0
1Vf09Cxf2jqSkU6sfueYAq,Music-Mouv,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,DataSets\audio\Diam's - La Boulette (Génération Nan Nan).mp3,DataSets\img\Diam's - La Boulette (Génération Nan Nan).npy,128.0,23144.0
37DnQQzvedZUOhtjEEaHQT,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Yanns - Clic clic pan pan.mp3,DataSets\img\Yanns - Clic clic pan pan.npy,128.0,16407.0
6mkBPrs5D4lyHRKYzHHA50,Music-Mouv,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,DataSets\audio\Boule - L'ours polaire.mp3,DataSets\img\Boule - L'ours polaire.npy,128.0,13087.0
57bgtoPSgt236HzfBOd8kj,Music-Mouv,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,DataSets\audio\AC_DC - Thunderstruck.mp3,DataSets\img\AC_DC - Thunderstruck.npy,128.0,29293.0
1etiUDkISHELzQGMY79ryt,Music-Mouv,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,DataSets\audio\Bastille - Quarter Past Midnight.mp3,DataSets\img\Bastille - Quarter Past Midnight.npy,128.0,11538.0
0UFDKFqW2oGspYeYqo9wjA,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Linkin Park - Bleed It Out.mp3,DataSets\img\Linkin Park - Bleed It Out.npy,128.0,16443.0
7CXmNtoDEik3cfe9DghQHG,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Collectif Métissé - Sexy Lady.mp3,DataSets\img\Collectif Métissé - Sexy Lady.npy,128.0,11522.0
5CbCgXCMti2YOgcisqmdWC,Music-Mouv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\Lúnasa - Eanáir.mp3,DataSets\img\Lúnasa - Eanáir.npy,128.0,32979.0
4jrMslkQYy6HVqKKPX2WXf,Music-Mouv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\Depeche Mode - Somebody.mp3,DataSets\img\Depeche Mode - Somebody.npy,128.0,26101.0
6WFo74afaWutWhjwtlz4Ki,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Great Big Sea - Run Runaway.mp3,DataSets\img\Great Big Sea - Run Runaway.npy,128.0,22313.0
3kHDkEajJ4G02y2U6Xf0fm,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Renaud - Laisse béton.mp3,DataSets\img\Renaud - Laisse béton.npy,128.0,8437.0
332cZrFqQCo1u7jixKukF2,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Titi Robin - Ma Gavali Rumba.mp3,DataSets\img\Titi Robin - Ma Gavali Rumba.npy,128.0,27146.0
2kUKeN9ZpYHqfBjB8Gphb2,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Naps - Best life.mp3,DataSets\img\Naps - Best life.npy,128.0,19711.0
6MTuYHLWVgs25adPBzg5X6,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Yves Deruyter - Animals - Remix.mp3,DataSets\img\Yves Deruyter - Animals - Remix.npy,128.0,25915.0
0HqZX76SFLDz2aW8aiqi7G,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Imagine Dragons - Bones.mp3,DataSets\img\Imagine Dragons - Bones.npy,128.0,9299.0
7bp3zmEvpHLa0h32nhDUkB,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Stromae - L’enfer.mp3,DataSets\img\Stromae - L’enfer.npy,128.0,10676.0
4oPa1RJ2FrPwEcbnBhEtPQ,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,
3aQem4jVGdhtg116TmJnHz,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Drake - What’s Next.mp3,DataSets\img\Drake - What’s Next.npy,128.0,10030.0
4h9wh7iOZ0GGn8QVp4RAOB,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\OneRepublic - I Ain't Worried.mp3,DataSets\img\OneRepublic - I Ain't Worried.npy,128.0,8382.0
1OSSwdPGbRPm6PkugpOQhP,Music-Mouv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DataSets\audio\Mozart Opera Rock - Bim bam boum.mp3,DataSets\img\Mozart Opera Rock - Bim bam boum.npy,128.0,16927.0
6FrW2Rm1BUHEL29joWJCLo,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Fares Karam - ريتنى.mp3,DataSets\img\Fares Karam - ريتنى.npy,128.0,25187.0
6mICuAdrwEjh6Y6lroV2Kg,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Shakira - Chantaje (feat. Maluma).mp3,DataSets\img\Shakira - Chantaje (feat. Maluma).npy,128.0,19722.0
1mea3bSkSGXuIRvnydlB5b,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Coldplay - Viva La Vida.mp3,DataSets\img\Coldplay - Viva La Vida.npy,128.0,24215.0
7mt5dPjDkTJibqv1apN37A,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Nolay - Corn.mp3,DataSets\img\Nolay - Corn.npy,128.0,30866.0
7e89621JPkKaeDSTQ3avtg,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Lynyrd Skynyrd - Sweet Home Alabama.mp3,DataSets\img\Lynyrd Skynyrd - Sweet Home Alabama.npy,128.0,15973.0
2QpUWi6VSNOt2WyH5FIeLD,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Aya Nakamura - Pookie.mp3,DataSets\img\Aya Nakamura - Pookie.npy,128.0,17940.0
6kasGUkeJa8Azyvl2zW9Ur,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\SYR - Tir N'aill.mp3,DataSets\img\SYR - Tir N'aill.npy,128.0,28831.0
7MJQ9Nfxzh8LPZ9e9u68Fq,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Eminem - Lose Yourself.mp3,DataSets\img\Eminem - Lose Yourself.npy,128.0,18068.0
6m1TWFMeon7ai9XLOzdbiR,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\BTS - FAKE LOVE.mp3,DataSets\img\BTS - FAKE LOVE.npy,128.0,24230.0
6ocbgoVGwYJhOv1GgI9NsF,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Ariana Grande - 7 rings.mp3,DataSets\img\Ariana Grande - 7 rings.npy,128.0,10103.0
36CBgM1zHMkAbi1P4bC9AE,Music-Mouv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DataSets\audio\Manu Dibango - Un soir au village.mp3,DataSets\img\Manu Dibango - Un soir au village.npy,128.0,23739.0
73V8Goi8gRq2zwUkyWo8XE,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Shay - PMW.mp3,DataSets\img\Shay - PMW.npy,128.0,10433.0
6kFKyM6lv22Q3KJaIopkIe,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Jul - Superstar.mp3,DataSets\img\Jul - Superstar.npy,128.0,23718.0
3sJrYXBaNIzUG1rUsarigP,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Flavia Coelho - Bossa Bika Nova.mp3,DataSets\img\Flavia Coelho - Bossa Bika Nova.npy,128.0,24800.0
7sKDftgGirHWTVFMtJoDoh,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Aya Nakamura - Djadja.mp3,DataSets\img\Aya Nakamura - Djadja.npy,128.0,17115.0
2HD5BWFthrNf2uFyEhi53d,Music-Mouv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\Metallica - Orion.mp3,DataSets\img\Metallica - Orion.npy,128.0,50719.0
4DmImFE1FJ2h6SjFkiqS5g,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Olivia Ruiz - Les météores.mp3,DataSets\img\Olivia Ruiz - Les météores.npy,128.0,10757.0
2ICdvchXmDh5mdLyyL2opB,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Orelsan - Basique.mp3,DataSets\img\Orelsan - Basique.npy,128.0,16300.0
06jSEWSPjIowiquOM7Q1L8,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Serj Tankian - Baby.mp3,DataSets\img\Serj Tankian - Baby.npy,128.0,21085.0
1r35X2XHPsksJ9aAbZPaO1,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Blind Guardian - Tanelorn (Into the Void).mp3,DataSets\img\Blind Guardian - Tanelorn (Into the Void).npy,128.0,35886.0
5CPXR6lDTvngxtmMZxnWmC,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Dream Theater - Pull Me Under.mp3,DataSets\img\Dream Theater - Pull Me Under.npy,128.0,49713.0
60udb73Xe8KJ7IzBhn3ptV,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Philippe Katerine - Louxor j'adore.mp3,DataSets\img\Philippe Katerine - Louxor j'adore.npy,128.0,17964.0
0bv5vUJCvXM9G0cbjeikyY,Music-Mouv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\Jimmy Smith - Back At The Chicken Shack.mp3,DataSets\img\Jimmy Smith - Back At The Chicken Shack.npy,128.0,27470.0
1zM2dzrpBC2y3PxARrCUwJ,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Jul - Ma chérie.mp3,DataSets\img\Jul - Ma chérie.npy,128.0,18141.0
1xiBH94p5CA6MYqKbA7MgT,Music-Mouv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DataSets\audio\Jacques Brel - Au suivant.mp3,DataSets\img\Jacques Brel - Au suivant.npy,128.0,10420.0
3iOessvbLqaBZdCUkUw2uy,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Mcfly & Carlito - TikTok Girl.mp3,DataSets\img\Mcfly & Carlito - TikTok Girl.npy,128.0,20438.0
